,UNITID,X,X.2,X.1,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS.y,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,Institution.Name,INSTSIZE..HD2010.,RET_PCF..EF2010D.,GRRTTOT..DRVGR2010.,GRRTM..DRVGR2010.,GRRTW..DRVGR2010.,F1TUFEFT..DRVF2010.,F1STAPFT..DRVF2010.,F1LCAPFT..DRVF2010.,F1PGGCFT..DRVF2010.,F2TUFEFT..DRVF2010.,F2PGGCFT..DRVF2010.,F1INSTPC..DRVF2010.,F1ACSPPC..DRVF2010.,F1STSVPC..DRVF2010.,F1INSUPC..DRVF2010.,F2INSTPC..DRVF2010.,F2ACSPPC..DRVF2010.,F2STSVPC..DRVF2010.,F1ENDMFT..DRVF2010.,F2ENDMFT..DRVF2010.,ENDOW,ExpIn,GiftRev,TotalRev,Rating,HIGHDEG
22,101365,22,22,22,962107,9621,Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/birmingham,www.herzing.edu/financial-aid/net-price-calculator,0,1,3,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1304,0,0,0,0.0163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326,0,0,0,0,0,0,0.0054,0.7609,0.0543,0,0,318,0.3491,0.5881,0.0063,0.0094,0,0,0.0314,0,0.0157,0.4969,1,NA,22518,NA,NA,NA,NA,NA,22202,22985,21989,25064,NA,0.6373,0.5,NA,NA,NA,0.7153,0.7813,22822,253.3709851,0.474266474,0.323541177,NA,42300,0.596551716,Herzing University-Birmingham,1,50,20,6,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6267973221,3
23,101435,23,23,23,101900,1019,Huntingdon College,Montgomery,AL,www.huntingdon.edu,hawk.huntingdon.edu/oiac/netpricecalculator/npcalc.htm,0,3,2,12,0,0,0,0,0,0,0,0,0,71,420,500,420,540,NA,NA,460,480,NA,19,24,19,24,17,23,NA,NA,22,22,20,NA,999,999,0,0,0,0,0.0461,0,0,0,0.0553,0,0,0,0,0,0.0369,0,0,0.0968,0.0046,0,0,0.0645,0.0323,0.0184,0.0276,0,0.0369,0,0,0.0138,0,0,0,0,0.0184,0.0046,0.4977,0.0461,0,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,0.0273,0.0027,0.1564,0.1836,1,NA,17864,NA,NA,NA,NA,NA,16288,16917,17974,18342,20736,0.4302,0.6196,NA,NA,NA,0.7227,0.1937,27000,299.75535,0.781431335,0.447984076,NA,37100,0.616858244,Huntingdon College,2,59,47,43,54,NA,NA,NA,NA,8594,2374,NA,NA,NA,NA,42,8,33,NA,39070,39070,42,2374,10968,0.6261674486,3
25,101462,25,25,25,526000,5260,J F Drake State Community and Technical College,Huntsville,AL,www.drakestate.edu,www.drakestate.edu/admissions/net_price_calculator.aspx,0,1,1,12,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1357,0.1357,0,0,0.0643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143,0.0643,0.0786,0,0,0.3143,0.1929,0,0,1040,0.3096,0.6231,0.025,0.0048,0.0067,0.0029,0.0202,0.0019,0.0058,0.3894,1,7163,NA,7136,7524,6905,NA,NA,NA,NA,NA,NA,NA,0.5873,NA,0.4228,NA,0.2059,0,0.4555,NA,NA,NA,NA,0.244616547,23500,0.364864856,J F Drake State Community and Technical College,2,43,21,20,22,1188,3218,0,7,NA,NA,39,12,9,21,NA,NA,NA,NA,NA,NA,39,7,4413,0.874944859,2
27,101499,27,27,27,102100,1021,Jefferson Davis Community College,Brewton,AL,www.jdcc.edu,www.jdcc.edu/netpricecalculator/,0,2,1,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.0407,0,0,0.0854,0,0.0325,0,0,0.3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244,0.0854,0.1179,0,0,0.3089,0,0,0,1037,0.5853,0.297,0.0116,0.0183,0.0289,0,0.0135,0,0.0453,0.4089,1,3796,NA,3648,4129,4473,3599,NA,NA,NA,NA,NA,NA,0.5283,NA,0.5182,NA,0.4565,0,0.406,NA,NA,NA,NA,0.356118919,27200,0.417302787,Jefferson Davis Community College,2,41,28,30,23,901,4875,0,493,NA,NA,48,11,14,12,NA,NA,NA,242,NA,242,48,493,6269,0.85125795,2
28,101505,28,28,28,102200,1022,Jefferson State Community College,Birmingham,AL,www.jeffstateonline.com,www.jeffstateonline.com/financial/tuition/net-price-calculator/,0,2,1,12,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0067,0,0,0,0,0.0045,0.0632,0.0624,0,0,0.0535,0,0.0461,0,0,0.2043,0,0,0,0,0,0,0,0,0,0,0,0.0691,0,0,0,0,0,0,0,0.2793,0.211,0,0,7494,0.6894,0.2171,0.0388,0.0169,0.0031,0.0008,0.0259,0.0079,0.0001,0.6182,1,8799,NA,7793,8912,11006,12606,12835,NA,NA,NA,NA,NA,0.3579,NA,0.5235,NA,0.4415,0.2323,0.3671,10000,111.0205,0.622807018,NA,0.16483655,30300,0.493239284,Jefferson State Community College,3,59,7,6,9,2501,3225,0,14,NA,NA,54,4,15,16,NA,NA,NA,174,NA,174,54,14,5740,0.6892547957,2
29,101514,29,29,29,101300,1013,John C Calhoun State Community College,Tanner,AL,www.calhoun.edu,calhoun.studentaidcalculator.com/,0,2,1,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186,0,0,0,0,0,0.0212,0.0141,0,0,0.099,0,0.0084,0,0,0.3981,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0.0232,0.0135,0.0296,0,0.018,0.3428,0.0129,0,0,9970,0.6627,0.1949,0.0396,0.0191,0.0195,0.0008,0.0363,0.004,0.0232,0.5785,1,5278,NA,3925,5268,7865,9495,9550,NA,NA,NA,NA,NA,0.4032,NA,0.5749,NA,0.468,0.2773,0.3688,9940,110.354377,0.543043813,NA,0.156614362,27200,0.464605749,John C Calhoun State Community College,4,66,11,12,11,2054,2392,0,24,NA,NA,46,6,9,14,NA,NA,NA,NA,NA,NA,46,24,4470,0.6981531461,2
30,101541,30,30,30,102300,1023,Judson College,Marion,AL,www.judson.edu,www.judson.edu,0,3,2,43,0,0,0,0,0,0,0,0,1,54,550,640,500,600,530,610,595,550,570,19,24,19,26,16,23,NA,NA,22,23,20,NA,1023,1023,0.0345,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0.069,0,0,0.0862,0.0172,0,0.0345,0,0.0172,0,0.0172,0,0.0517,0.069,0.0172,0.0172,0,0,0,0,0.0862,0.3448,0.069,0,0,331,0.7915,0.145,0.0151,0.0091,0.003,0,0.006,0.0091,0.0211,0.2115,1,NA,17243,NA,NA,NA,NA,NA,15101,17186,20215,19308,19757,0.4788,0.5974,NA,NA,NA,0.711,0.2622,NA,NA,0.718120805,0.390415069,NA,30700,0.373831779,Judson College,1,63,39,NA,39,NA,NA,NA,NA,4982,8469,NA,NA,NA,NA,44,9,28,NA,36235,36235,44,8469,13451,0.759460008,3
31,101569,31,31,31,105900,1059,Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,www.lawsonstate.edu/financialaid/npc/npcalc.htm,0,1,1,12,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.0287,0.0478,0.0877,0,0,0.1164,0,0.1005,0,0,0.2249,0,0,0,0,0.0287,0,0,0,0,0,0,0.0239,0.008,0.0112,0.0622,0.067,0.0223,0,0.0064,0.0734,0.0909,0,0,2894,0.1448,0.7557,0.0104,0.0031,0.0014,0.0024,0.0083,0.001,0.0729,0.3825,1,7406,NA,7320,7672,8030,NA,NA,NA,NA,NA,NA,NA,0.6821,NA,0.5251,NA,0.2403,0,0.4089,NA,NA,NA,NA,0.187934947,22300,0.363099635,Lawson State Community College-Birmingham Campus,2,53,17,26,12,1318,3942,0,20,NA,NA,44,6,12,18,NA,NA,NA,NA,NA,NA,44,20,5280,0.8844990807,2
33,101602,33,33,33,898800,8988,Lurleen B Wallace Community College,Andalusia,AL,www.lbwcc.edu,www.lbwcc.edu/financial_aid/2010-2011_net_price_calculator.aspx,0,1,1,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0292,0,0,0,0,0.0219,0.073,0,0,0.0268,0,0.017,0,0,0.2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681,0.0389,0,0,0.438,0.0268,0,0,1372,0.7259,0.2493,0.0087,0.0058,0.0022,0,0.0051,0.0007,0.0022,0.2937,1,8041,NA,7829,8434,9604,NA,NA,NA,NA,NA,NA,NA,0.5753,NA,0.5702,NA,0.3488,0,0.2503,NA,NA,NA,NA,0.261864827,28000,0.407407403,Lurleen B Wallace Community College,2,51,26,21,30,1118,4276,0,59,NA,NA,43,13,13,13,NA,NA,NA,557,NA,557,43,59,5453,0.8499389173,2
34,101648,34,34,34,102600,1026,Marion Military Institute,Marion,AL,www.marionmilitary.edu,www.marionmilitary.edu/admissions/netcalc/npcalc.htm,0,2,1,43,0,0,0,0,0,0,0,0,0,NA,460,590,460,600,NA,NA,525,530,NA,18,26,17,25,17,26,NA,NA,22,21,22,NA,1040,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0.5766,0.2287,0.1022,0.0365,0.0122,0.0049,0.0292,0,0.0097,0,1,11013,NA,7846,9737,11265,14048,14036,NA,NA,NA,NA,NA,0.4424,NA,0.3811,NA,NA,0.6257,0.0048,11500,127.673575,0.606217617,NA,0.283014723,48500,0.531531513,Marion Military Institute,1,34,23,20,39,3214,11529,0,0,NA,NA,19,9,43,28,NA,NA,NA,4656,NA,4656,19,NA,14743,0.5994715402,2
35,101675,35,35,35,102800,1028,Miles College,Fairfield,AL,www.miles.edu,miles.edu,0,3,2,21,1,0,0,0,0,0,0,0,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0107,0,0,0.0963,0,0.0588,0,0.0802,0,0,0,0.0321,0,0.0107,0,0,0.1444,0.0053,0,0,0,0,0,0,0,0,0.1818,0.0802,0.0481,0,0,0,0,0.0053,0,0.246,0,0,1663,0.018,0.9693,0.0054,0,0,0.0006,0.0066,0,0,0.0523,1,NA,15217,NA,NA,NA,NA,NA,14741,14369,17533,20393,18803,0.8227,0.5476,NA,0.25,NA,0.9184,0.1657,36569,405.9908665,0.216788916,0.189705012,NA,27200,0.362565458,Miles College,2,55,24,13,37,NA,NA,NA,NA,4260,1154,NA,NA,NA,NA,36,6,13,NA,7243,7243,36,1154,5414,0.7452269102,3
38,101736,38,38,38,569700,5697,Northwest-Shoals Community College,Muscle Shoals,AL,www.nwscc.edu,nwscc.edu/financialaid/netpricecalculator/npcalc.htm,0,2,1,13,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0053,0.0398,0,0,0.0438,0,0.0411,0,0,0.3037,0,0,0,0,0.0676,0,0,0,0,0.0027,0,0.0133,0,0,0.0332,0.1034,0.0796,0,0,0.1764,0.0902,0,0,3235,0.8195,0.127,0.0343,0.0031,0.0065,0.0009,0.0071,0,0.0015,0.4331,1,4678,NA,4021,5158,6514,8568,7336,NA,NA,NA,NA,NA,0.5233,NA,0.5263,NA,0.3116,0.2559,0.2605,11500,127.673575,0.509727627,NA,0.203530533,26300,0.395963818,Northwest-Shoals Community College,2,52,13,11,14,1347,3152,0,2,NA,NA,39,8,11,9,NA,NA,NA,NA,NA,NA,39,2,4501,0.7069613481,2
